物品ID,数量范围,拥有这个类型战利品的战利品表,其他信息
minecraft:iron_helmet,1,"dungeons_arise:chests/bandit_towers/bandit_towers_barrels
dungeons_arise:chests/bandit_towers/bandit_towers_gardens
dungeons_arise:chests/bandit_towers/bandit_towers_normal
dungeons_arise:chests/bandit_towers/bandit_towers_rooms
dungeons_arise:chests/bandit_towers/bandit_towers_treasure
dungeons_arise:chests/bandit_village/bandit_village_barrels
dungeons_arise:chests/bandit_village/bandit_village_normal
dungeons_arise:chests/bandit_village/bandit_village_tents
dungeons_arise:chests/ceryneian_hind/ceryneian_hind_treasure
dungeons_arise:chests/giant_mushroom/red_giant_mushroom
dungeons_arise:chests/giant_mushroom/twin_giant_mushroom
dungeons_arise:chests/illager_campsite/illager_campsite_map
dungeons_arise:chests/illager_campsite/illager_campsite_tent
dungeons_arise:chests/illager_corsair/illager_corsair_treasure
dungeons_arise:chests/illager_fort/illager_fort_barrels
dungeons_arise:chests/illager_fort/illager_fort_normal
dungeons_arise:chests/illager_galley/illager_galley_treasure
dungeons_arise:chests/illager_windmill/illager_windmill_barrels
dungeons_arise:chests/illager_windmill/illager_windmill_treasure
dungeons_arise:chests/jungle_tree_house/jungle_tree_house_barrels
dungeons_arise:chests/jungle_tree_house/jungle_tree_house_normal
dungeons_arise:chests/jungle_tree_house/jungle_tree_house_treasure
dungeons_arise:chests/keep_kayra/keep_kayra_normal
dungeons_arise:chests/lighthouse/lighthouse_top
dungeons_arise:chests/mines_treasure_big
dungeons_arise:chests/mines_treasure_medium
dungeons_arise:chests/mining_system/mining_system_treasure
dungeons_arise:chests/mushroom_mines/mushroom_mines_barrels
dungeons_arise:chests/mushroom_mines/mushroom_mines_treasure
dungeons_arise:chests/plague_asylum/plague_asylum_cells
dungeons_arise:chests/plague_asylum/plague_asylum_normal
dungeons_arise:chests/scorched_mines/scorched_mines_barrels
dungeons_arise:chests/scorched_mines/scorched_mines_housing
dungeons_arise:chests/scorched_mines/scorched_mines_normal
dungeons_arise:chests/shiraz_palace/shiraz_palace_library
dungeons_arise:chests/small_blimp/small_blimp_treasure
dungeons_arise:chests/thornborn_towers/thornborn_towers_top_treasure
dungeons_arise:chests/typhon/typhon_treasure
dungeons_arise:chests/undead_pirate_ship/undead_pirate_ship_treasure
dungeons_arise_seven_seas:chests/corsair_corvette/corsair_corvette_treasure
dungeons_arise_seven_seas:chests/pirate_junk/pirate_junk_normal
dungeons_arise_seven_seas:chests/unicorn_galleon/unicorn_galleon_normal
dungeons_arise_seven_seas:chests/victory_frigate/victory_frigate_normal_upper","等级附魔
随机附魔"
minecraft:iron_hoe,1,dungeons_arise:chests/illager_windmill/illager_windmill_barrels,
minecraft:iron_ingot,"12~16, 12~20, 12~24, 16~24, 16~32, 16~48, 18~26, 1~12, 1~16, 1~3, 1~4, 1~6, 1~8, 24~32, 2~12, 2~3, 2~4, 2~6, 32~48, 3~16, 3~5, 3~6, 4~12, 4~16, 4~18, 4~24, 4~26, 4~32, 4~8, 5~16, 6~12, 6~14, 8~14, 8~16, 8~24","dungeons_arise:chests/abandoned_temple/abandoned_temple_entrance
dungeons_arise:chests/abandoned_temple/abandoned_temple_map
dungeons_arise:chests/abandoned_temple/abandoned_temple_top
dungeons_arise:chests/bandit_towers/bandit_towers_barrels
dungeons_arise:chests/bandit_towers/bandit_towers_gardens
dungeons_arise:chests/bandit_towers/bandit_towers_normal
dungeons_arise:chests/bandit_towers/bandit_towers_rooms
dungeons_arise:chests/bandit_towers/bandit_towers_supply
dungeons_arise:chests/bandit_towers/bandit_towers_treasure
dungeons_arise:chests/bandit_village/bandit_village_barrels
dungeons_arise:chests/bandit_village/bandit_village_normal
dungeons_arise:chests/bandit_village/bandit_village_supply
dungeons_arise:chests/bandit_village/bandit_village_tents
dungeons_arise:chests/bathhouse/bathhouse_normal
dungeons_arise:chests/ceryneian_hind/ceryneian_hind_treasure
dungeons_arise:chests/giant_mushroom/red_giant_mushroom
dungeons_arise:chests/giant_mushroom/twin_giant_mushroom
dungeons_arise:chests/greenwood_pub/greenwood_pub_barrels_hallways
dungeons_arise:chests/greenwood_pub/greenwood_pub_normal
dungeons_arise:chests/illager_campsite/illager_campsite_map
dungeons_arise:chests/illager_corsair/illager_corsair_treasure
dungeons_arise:chests/illager_fort/illager_fort_barrels
dungeons_arise:chests/illager_fort/illager_fort_normal
dungeons_arise:chests/illager_fort/illager_fort_treasure
dungeons_arise:chests/illager_galley/illager_galley_treasure
dungeons_arise:chests/illager_windmill/illager_windmill_barrels
dungeons_arise:chests/illager_windmill/illager_windmill_treasure
dungeons_arise:chests/infested_temple/infested_temple_room_bookshelf
dungeons_arise:chests/infested_temple/infested_temple_room_forge
dungeons_arise:chests/infested_temple/infested_temple_room_garden
dungeons_arise:chests/infested_temple/infested_temple_room_normal
dungeons_arise:chests/infested_temple/infested_temple_room_supply
dungeons_arise:chests/infested_temple/infested_temple_room_table
dungeons_arise:chests/infested_temple/infested_temple_top_treasure
dungeons_arise:chests/jungle_tree_house/jungle_tree_house_barrels
dungeons_arise:chests/jungle_tree_house/jungle_tree_house_normal
dungeons_arise:chests/jungle_tree_house/jungle_tree_house_treasure
dungeons_arise:chests/keep_kayra/keep_kayra_library_normal
dungeons_arise:chests/keep_kayra/keep_kayra_normal
dungeons_arise:chests/lighthouse/lighthouse_top
dungeons_arise:chests/mechanical_nest/mechanical_nest_equipment
dungeons_arise:chests/mechanical_nest/mechanical_nest_normal
dungeons_arise:chests/merchant_campsite/merchant_campsite_map
dungeons_arise:chests/merchant_campsite/merchant_campsite_tent
dungeons_arise:chests/mines_treasure_big
dungeons_arise:chests/mines_treasure_medium
dungeons_arise:chests/mines_treasure_small
dungeons_arise:chests/mining_system/mining_system_barrels
dungeons_arise:chests/mining_system/mining_system_treasure
dungeons_arise:chests/monastery/monastery_bridges
dungeons_arise:chests/mushroom_house/mushroom_house_barrels
dungeons_arise:chests/mushroom_house/mushroom_house_normal
dungeons_arise:chests/mushroom_house/mushroom_house_treasure
dungeons_arise:chests/mushroom_mines/mushroom_mines_barrels
dungeons_arise:chests/mushroom_mines/mushroom_mines_ores
dungeons_arise:chests/mushroom_mines/mushroom_mines_tools
dungeons_arise:chests/mushroom_mines/mushroom_mines_treasure
dungeons_arise:chests/mushroom_village/mushroom_village_barrels
dungeons_arise:chests/mushroom_village/mushroom_village_treasure
dungeons_arise:chests/plague_asylum/plague_asylum_barrels
dungeons_arise:chests/plague_asylum/plague_asylum_cells
dungeons_arise:chests/plague_asylum/plague_asylum_normal
dungeons_arise:chests/plague_asylum/plague_asylum_treasure
dungeons_arise:chests/scorched_mines/scorched_mines_barrels
dungeons_arise:chests/scorched_mines/scorched_mines_housing
dungeons_arise:chests/scorched_mines/scorched_mines_hub
dungeons_arise:chests/scorched_mines/scorched_mines_normal
dungeons_arise:chests/shiraz_palace/shiraz_palace_gardens
dungeons_arise:chests/shiraz_palace/shiraz_palace_library
dungeons_arise:chests/shiraz_palace/shiraz_palace_rooms
dungeons_arise:chests/shiraz_palace/shiraz_palace_supply
dungeons_arise:chests/shiraz_palace/shiraz_palace_towers
dungeons_arise:chests/small_blimp/small_blimp_treasure
dungeons_arise:chests/small_prairie_house/small_prairie_house_normal
dungeons_arise:chests/small_prairie_house/small_prairie_house_ruined
dungeons_arise:chests/thornborn_towers/thornborn_towers_barrels
dungeons_arise:chests/thornborn_towers/thornborn_towers_rooms
dungeons_arise:chests/thornborn_towers/thornborn_towers_top_treasure
dungeons_arise:chests/typhon/typhon_treasure
dungeons_arise:chests/undead_pirate_ship/undead_pirate_ship_treasure
dungeons_arise_seven_seas:chests/corsair_corvette/corsair_corvette_barrels
dungeons_arise_seven_seas:chests/corsair_corvette/corsair_corvette_treasure
dungeons_arise_seven_seas:chests/pirate_junk/pirate_junk_barrels
dungeons_arise_seven_seas:chests/pirate_junk/pirate_junk_normal
dungeons_arise_seven_seas:chests/small_yacht/small_yacht_barrels
dungeons_arise_seven_seas:chests/small_yacht/small_yacht_normal
dungeons_arise_seven_seas:chests/unicorn_galleon/unicorn_galleon_barrels
dungeons_arise_seven_seas:chests/unicorn_galleon/unicorn_galleon_normal
dungeons_arise_seven_seas:chests/victory_frigate/victory_frigate_barrels
dungeons_arise_seven_seas:chests/victory_frigate/victory_frigate_normal_upper",
minecraft:iron_leggings,1,"dungeons_arise:chests/bandit_towers/bandit_towers_barrels
dungeons_arise:chests/bandit_towers/bandit_towers_gardens
dungeons_arise:chests/bandit_towers/bandit_towers_normal
dungeons_arise:chests/bandit_towers/bandit_towers_rooms
dungeons_arise:chests/bandit_towers/bandit_towers_treasure
dungeons_arise:chests/bandit_village/bandit_village_barrels
dungeons_arise:chests/bandit_village/bandit_village_normal
dungeons_arise:chests/bandit_village/bandit_village_tents
dungeons_arise:chests/ceryneian_hind/ceryneian_hind_treasure
dungeons_arise:chests/giant_mushroom/red_giant_mushroom
dungeons_arise:chests/giant_mushroom/twin_giant_mushroom
dungeons_arise:chests/illager_campsite/illager_campsite_map
dungeons_arise:chests/illager_campsite/illager_campsite_tent
dungeons_arise:chests/illager_corsair/illager_corsair_treasure
dungeons_arise:chests/illager_fort/illager_fort_barrels
dungeons_arise:chests/illager_fort/illager_fort_normal
dungeons_arise:chests/illager_galley/illager_galley_treasure
dungeons_arise:chests/illager_windmill/illager_windmill_barrels
dungeons_arise:chests/illager_windmill/illager_windmill_treasure
dungeons_arise:chests/jungle_tree_house/jungle_tree_house_barrels
dungeons_arise:chests/jungle_tree_house/jungle_tree_house_normal
dungeons_arise:chests/keep_kayra/keep_kayra_normal
dungeons_arise:chests/mechanical_nest/mechanical_nest_equipment
dungeons_arise:chests/mines_treasure_big
dungeons_arise:chests/mines_treasure_medium
dungeons_arise:chests/mining_system/mining_system_treasure
dungeons_arise:chests/mushroom_mines/mushroom_mines_barrels
dungeons_arise:chests/mushroom_mines/mushroom_mines_treasure
dungeons_arise:chests/plague_asylum/plague_asylum_cells
dungeons_arise:chests/plague_asylum/plague_asylum_normal
dungeons_arise:chests/small_blimp/small_blimp_treasure
dungeons_arise:chests/typhon/typhon_treasure
dungeons_arise:chests/undead_pirate_ship/undead_pirate_ship_treasure
dungeons_arise_seven_seas:chests/corsair_corvette/corsair_corvette_normal
dungeons_arise_seven_seas:chests/corsair_corvette/corsair_corvette_treasure
dungeons_arise_seven_seas:chests/pirate_junk/pirate_junk_normal
dungeons_arise_seven_seas:chests/small_yacht/small_yacht_normal
dungeons_arise_seven_seas:chests/small_yacht/small_yacht_treasure
dungeons_arise_seven_seas:chests/unicorn_galleon/unicorn_galleon_normal
dungeons_arise_seven_seas:chests/victory_frigate/victory_frigate_normal_upper",等级附魔
minecraft:iron_nugget,"1~64, 24~48, 2~3, 32~64","dungeons_arise:chests/bandit_towers/bandit_towers_barrels
dungeons_arise:chests/bandit_towers/bandit_towers_normal
dungeons_arise:chests/bandit_towers/bandit_towers_rooms
dungeons_arise:chests/bandit_village/bandit_village_barrels
dungeons_arise:chests/bandit_village/bandit_village_normal
dungeons_arise:chests/bandit_village/bandit_village_supply
dungeons_arise:chests/bandit_village/bandit_village_tents
dungeons_arise:chests/greenwood_pub/greenwood_pub_barrels_normal
dungeons_arise:chests/jungle_tree_house/jungle_tree_house_barrels
dungeons_arise:chests/jungle_tree_house/jungle_tree_house_normal
dungeons_arise:chests/plague_asylum/plague_asylum_normal",
minecraft:iron_ore,"1~8, 4~16, 8~32","dungeons_arise:chests/jungle_tree_house/jungle_tree_house_barrels
dungeons_arise:chests/jungle_tree_house/jungle_tree_house_normal
dungeons_arise:chests/mines_treasure_small
dungeons_arise:chests/mining_system/mining_system_barrels
dungeons_arise:chests/mushroom_mines/mushroom_mines_ores
dungeons_arise:chests/mushroom_mines/mushroom_mines_tools",
minecraft:iron_pickaxe,1,"dungeons_arise:chests/giant_mushroom/red_giant_mushroom
dungeons_arise:chests/giant_mushroom/twin_giant_mushroom
dungeons_arise:chests/greenwood_pub/greenwood_pub_normal
dungeons_arise:chests/merchant_campsite/merchant_campsite_tent
dungeons_arise:chests/mines_treasure_big
dungeons_arise:chests/mines_treasure_medium
dungeons_arise:chests/mining_system/mining_system_treasure
dungeons_arise:chests/mushroom_mines/mushroom_mines_barrels
dungeons_arise:chests/mushroom_mines/mushroom_mines_treasure
dungeons_arise:chests/scorched_mines/scorched_mines_barrels
dungeons_arise:chests/scorched_mines/scorched_mines_housing
dungeons_arise:chests/scorched_mines/scorched_mines_normal","等级附魔
随机附魔"
minecraft:iron_sword,1,"dungeons_arise:chests/abandoned_temple/abandoned_temple_entrance
dungeons_arise:chests/abandoned_temple/abandoned_temple_map
dungeons_arise:chests/abandoned_temple/abandoned_temple_top
dungeons_arise:chests/bandit_towers/bandit_towers_gardens
dungeons_arise:chests/bandit_towers/bandit_towers_treasure
dungeons_arise:chests/ceryneian_hind/ceryneian_hind_treasure
dungeons_arise:chests/illager_campsite/illager_campsite_map
dungeons_arise:chests/illager_campsite/illager_campsite_tent
dungeons_arise:chests/illager_corsair/illager_corsair_treasure
dungeons_arise:chests/illager_galley/illager_galley_treasure
dungeons_arise:chests/jungle_tree_house/jungle_tree_house_barrels
dungeons_arise:chests/jungle_tree_house/jungle_tree_house_normal
dungeons_arise:chests/jungle_tree_house/jungle_tree_house_treasure
dungeons_arise:chests/keep_kayra/keep_kayra_normal
dungeons_arise:chests/mushroom_house/mushroom_house_treasure
dungeons_arise:chests/mushroom_village/mushroom_village_barrels
dungeons_arise:chests/plague_asylum/plague_asylum_cells
dungeons_arise:chests/plague_asylum/plague_asylum_normal
dungeons_arise:chests/small_blimp/small_blimp_treasure
dungeons_arise:chests/typhon/typhon_treasure
dungeons_arise:chests/undead_pirate_ship/undead_pirate_ship_treasure
dungeons_arise_seven_seas:chests/corsair_corvette/corsair_corvette_normal
dungeons_arise_seven_seas:chests/corsair_corvette/corsair_corvette_treasure
dungeons_arise_seven_seas:chests/pirate_junk/pirate_junk_normal
dungeons_arise_seven_seas:chests/small_yacht/small_yacht_normal
dungeons_arise_seven_seas:chests/small_yacht/small_yacht_treasure
dungeons_arise_seven_seas:chests/unicorn_galleon/unicorn_galleon_normal
dungeons_arise_seven_seas:chests/victory_frigate/victory_frigate_normal_upper",等级附魔
minecraft:jungle_leaves,4~6,dungeons_arise:chests/jungle_tree_house/jungle_tree_house_treasure,
minecraft:jungle_sapling,1,dungeons_arise:chests/jungle_tree_house/jungle_tree_house_treasure,
minecraft:lantern,2~6,"dungeons_arise:chests/mechanical_nest/mechanical_nest_equipment
dungeons_arise:chests/mechanical_nest/mechanical_nest_normal",
minecraft:lapis_lazuli,"12~18, 1~12, 1~16, 1~8","dungeons_arise:chests/abandoned_temple/abandoned_temple_entrance
dungeons_arise:chests/abandoned_temple/abandoned_temple_map
dungeons_arise:chests/abandoned_temple/abandoned_temple_top
dungeons_arise:chests/monastery/monastery_bridges
dungeons_arise:chests/mushroom_house/mushroom_house_barrels
dungeons_arise:chests/mushroom_house/mushroom_house_normal
dungeons_arise:chests/mushroom_house/mushroom_house_treasure
dungeons_arise:chests/plague_asylum/plague_asylum_cells
dungeons_arise:chests/small_prairie_house/small_prairie_house_normal
dungeons_arise:chests/small_prairie_house/small_prairie_house_ruined
dungeons_arise:chests/thornborn_towers/thornborn_towers_barrels",
minecraft:leather_boots,1,"dungeons_arise:chests/illager_campsite/illager_campsite_map
dungeons_arise:chests/jungle_tree_house/jungle_tree_house_barrels
dungeons_arise:chests/jungle_tree_house/jungle_tree_house_normal
dungeons_arise:chests/jungle_tree_house/jungle_tree_house_treasure
dungeons_arise:chests/mechanical_nest/mechanical_nest_equipment
dungeons_arise:chests/merchant_campsite/merchant_campsite_map
dungeons_arise:chests/monastery/monastery_bridges
dungeons_arise:chests/mushroom_house/mushroom_house_barrels
dungeons_arise:chests/small_prairie_house/small_prairie_house_ruined","等级附魔
自定义NBT"
minecraft:leather_chestplate,1,"dungeons_arise:chests/illager_campsite/illager_campsite_map
dungeons_arise:chests/illager_campsite/illager_campsite_tent
dungeons_arise:chests/jungle_tree_house/jungle_tree_house_barrels
dungeons_arise:chests/jungle_tree_house/jungle_tree_house_normal
dungeons_arise:chests/mechanical_nest/mechanical_nest_equipment
dungeons_arise:chests/merchant_campsite/merchant_campsite_map
dungeons_arise:chests/monastery/monastery_bridges
dungeons_arise:chests/mushroom_house/mushroom_house_barrels
dungeons_arise:chests/small_prairie_house/small_prairie_house_ruined","等级附魔
自定义NBT"
minecraft:leather_helmet,1,"dungeons_arise:chests/illager_campsite/illager_campsite_map
dungeons_arise:chests/illager_campsite/illager_campsite_tent
dungeons_arise:chests/jungle_tree_house/jungle_tree_house_barrels
dungeons_arise:chests/jungle_tree_house/jungle_tree_house_normal
dungeons_arise:chests/merchant_campsite/merchant_campsite_map
dungeons_arise:chests/monastery/monastery_bridges
dungeons_arise:chests/mushroom_house/mushroom_house_barrels
dungeons_arise:chests/small_prairie_house/small_prairie_house_ruined","等级附魔
自定义NBT"
minecraft:leather_leggings,1,"dungeons_arise:chests/illager_campsite/illager_campsite_map
dungeons_arise:chests/jungle_tree_house/jungle_tree_house_barrels
dungeons_arise:chests/jungle_tree_house/jungle_tree_house_normal
dungeons_arise:chests/jungle_tree_house/jungle_tree_house_treasure
dungeons_arise:chests/merchant_campsite/merchant_campsite_map
dungeons_arise:chests/monastery/monastery_bridges
dungeons_arise:chests/mushroom_house/mushroom_house_barrels
dungeons_arise:chests/small_prairie_house/small_prairie_house_ruined","等级附魔
自定义NBT"
minecraft:lightning_rod,0,"dungeons_arise:chests/mechanical_nest/mechanical_nest_equipment
dungeons_arise:chests/mechanical_nest/mechanical_nest_normal",
minecraft:lilac,1,"dungeons_arise:chests/shiraz_palace/shiraz_palace_gardens
dungeons_arise:chests/shiraz_palace/shiraz_palace_supply",
minecraft:lily_of_the_valley,"1, 1~4","dungeons_arise:chests/abandoned_temple/abandoned_temple_entrance
dungeons_arise:chests/abandoned_temple/abandoned_temple_map
dungeons_arise:chests/abandoned_temple/abandoned_temple_top
dungeons_arise:chests/mushroom_house/mushroom_house_treasure
dungeons_arise:chests/shiraz_palace/shiraz_palace_gardens
dungeons_arise:chests/shiraz_palace/shiraz_palace_supply",
minecraft:lingering_potion,"1, 1~2","dungeons_arise:chests/greenwood_pub/greenwood_pub_barrels_hallways
dungeons_arise:chests/mechanical_nest/mechanical_nest_supply
dungeons_arise:chests/plague_asylum/plague_asylum_potions",自定义NBT
minecraft:magma_block,1~4,"dungeons_arise:chests/foundry/foundry_lava_pit
dungeons_arise:chests/foundry/foundry_passage_normal",
minecraft:magma_cream,"1~3, 4~12","dungeons_arise:chests/aviary/aviary_barrels
dungeons_arise:chests/foundry/foundry_lava_pit
dungeons_arise:chests/foundry/foundry_passage_normal
dungeons_arise:chests/heavenly_challenger/heavenly_challenger_supply",
minecraft:map,1,"dungeons_arise:chests/abandoned_temple/abandoned_temple_map
dungeons_arise:chests/bandit_towers/bandit_towers_treasure
dungeons_arise:chests/illager_campsite/illager_campsite_map
dungeons_arise:chests/keep_kayra/keep_kayra_garden_treasure
dungeons_arise:chests/keep_kayra/keep_kayra_library_treasure
dungeons_arise:chests/keep_kayra/keep_kayra_treasure
dungeons_arise:chests/lighthouse/lighthouse_top
dungeons_arise:chests/merchant_campsite/merchant_campsite_map
dungeons_arise:chests/monastery/monastery_map
dungeons_arise:chests/mushroom_house/mushroom_house_treasure
dungeons_arise:chests/small_blimp/small_blimp_treasure
dungeons_arise:chests/thornborn_towers/thornborn_towers_top_treasure","藏宝图(dungeons_arise:bandit_towers)
藏宝图(dungeons_arise:explorer_maps/foundry)
藏宝图(dungeons_arise:explorer_maps/illager_campsite)
藏宝图(dungeons_arise:explorer_maps/illager_corsair)
藏宝图(dungeons_arise:explorer_maps/illager_fort)
藏宝图(dungeons_arise:explorer_maps/infested_temple)
藏宝图(dungeons_arise:explorer_maps/mining_system)
藏宝图(dungeons_arise:explorer_maps/monastery)
藏宝图(dungeons_arise:explorer_maps/mushroom_mines)
藏宝图(dungeons_arise:explorer_maps/plague_asylum)
藏宝图(dungeons_arise:explorer_maps/shiraz_palace)
藏宝图(dungeons_arise:explorer_maps/thornborn_towers)
藏宝图(dungeons_arise:foundry)
藏宝图(dungeons_arise:shiraz_palace)"
minecraft:melon,1~4,dungeons_arise:chests/jungle_tree_house/jungle_tree_house_treasure,
minecraft:melon_slice,8~12,"dungeons_arise_seven_seas:chests/pirate_junk/pirate_junk_supply
dungeons_arise_seven_seas:chests/unicorn_galleon/unicorn_galleon_supply
dungeons_arise_seven_seas:chests/victory_frigate/victory_frigate_supply",
minecraft:milk_bucket,"1~3, 1~8","dungeons_arise:chests/illager_corsair/illager_corsair_supply
dungeons_arise:chests/illager_galley/illager_galley_supply
dungeons_arise:chests/monastery/monastery_barrels
dungeons_arise:chests/mushroom_village/mushroom_village_barrels
dungeons_arise:chests/small_prairie_house/small_prairie_house_barrels
dungeons_arise:chests/undead_pirate_ship/undead_pirate_ship_supply
dungeons_arise_seven_seas:chests/pirate_junk/pirate_junk_supply
dungeons_arise_seven_seas:chests/unicorn_galleon/unicorn_galleon_supply
dungeons_arise_seven_seas:chests/victory_frigate/victory_frigate_supply",
minecraft:moss_block,2~8,"dungeons_arise:chests/mechanical_nest/mechanical_nest_equipment
dungeons_arise:chests/mechanical_nest/mechanical_nest_normal",
minecraft:mossy_cobblestone,"1, 1~3","dungeons_arise:chests/infested_temple/infested_temple_room_bookshelf
dungeons_arise:chests/infested_temple/infested_temple_room_forge
dungeons_arise:chests/infested_temple/infested_temple_room_garden
dungeons_arise:chests/infested_temple/infested_temple_room_normal
dungeons_arise:chests/infested_temple/infested_temple_room_supply
dungeons_arise:chests/infested_temple/infested_temple_room_table
dungeons_arise:chests/thornborn_towers/thornborn_towers_top_rooms",
minecraft:mushroom_stew,2~3,"dungeons_arise:chests/bathhouse/bathhouse_barrels
dungeons_arise:chests/bathhouse/bathhouse_normal
dungeons_arise:chests/illager_corsair/illager_corsair_supply
dungeons_arise:chests/illager_galley/illager_galley_supply
dungeons_arise:chests/monastery/monastery_barrels
dungeons_arise:chests/mushroom_village/mushroom_village_barrels
dungeons_arise:chests/small_prairie_house/small_prairie_house_barrels
dungeons_arise:chests/undead_pirate_ship/undead_pirate_ship_supply
dungeons_arise_seven_seas:chests/pirate_junk/pirate_junk_supply
dungeons_arise_seven_seas:chests/unicorn_galleon/unicorn_galleon_supply
dungeons_arise_seven_seas:chests/victory_frigate/victory_frigate_supply",
minecraft:music_disc_11,1,"dungeons_arise:chests/lighthouse/lighthouse_top
dungeons_arise:chests/shiraz_palace/shiraz_palace_library",
minecraft:nether_wart,1~3,"dungeons_arise:chests/lighthouse/lighthouse_top
dungeons_arise:chests/shiraz_palace/shiraz_palace_library",
minecraft:netherite_boots,1,"dungeons_arise:chests/heavenly_challenger/heavenly_challenger_treasure
dungeons_arise:chests/keep_kayra/keep_kayra_treasure
dungeons_arise:chests/shiraz_palace/shiraz_palace_elite
dungeons_arise:chests/shiraz_palace/shiraz_palace_normal",等级附魔
minecraft:netherite_chestplate,1,"dungeons_arise:chests/shiraz_palace/shiraz_palace_elite
dungeons_arise:chests/shiraz_palace/shiraz_palace_normal",等级附魔
minecraft:netherite_helmet,1,"dungeons_arise:chests/heavenly_challenger/heavenly_challenger_treasure
dungeons_arise:chests/keep_kayra/keep_kayra_library_treasure
dungeons_arise:chests/shiraz_palace/shiraz_palace_elite
dungeons_arise:chests/shiraz_palace/shiraz_palace_normal",
minecraft:netherite_hoe,1,"dungeons_arise:chests/heavenly_challenger/heavenly_challenger_theater
dungeons_arise:chests/mechanical_nest/mechanical_nest_equipment",
minecraft:netherite_ingot,"1, 1~3, 2~4","dungeons_arise:chests/aviary/aviary_normal
dungeons_arise:chests/aviary/aviary_treasure
dungeons_arise:chests/heavenly_challenger/heavenly_challenger_normal
dungeons_arise:chests/heavenly_challenger/heavenly_challenger_treasure
dungeons_arise:chests/shiraz_palace/shiraz_palace_elite",
minecraft:netherite_leggings,1,dungeons_arise:chests/keep_kayra/keep_kayra_garden_treasure,
minecraft:netherite_pickaxe,1,dungeons_arise:chests/heavenly_challenger/heavenly_challenger_treasure,
minecraft:netherite_scrap,"1, 1~2, 1~3, 2~4, 2~5, 3~6, 4~12, 4~8, 6~12, 8~12","dungeons_arise:chests/aviary/aviary_barrels
dungeons_arise:chests/aviary/aviary_normal
dungeons_arise:chests/aviary/aviary_treasure
dungeons_arise:chests/foundry/foundry_chains
dungeons_arise:chests/foundry/foundry_normal
dungeons_arise:chests/foundry/foundry_treasure
dungeons_arise:chests/heavenly_challenger/heavenly_challenger_normal
dungeons_arise:chests/heavenly_challenger/heavenly_challenger_theater
dungeons_arise:chests/heavenly_challenger/heavenly_challenger_treasure
dungeons_arise:chests/heavenly_conqueror/heavenly_conqueror_normal
dungeons_arise:chests/heavenly_conqueror/heavenly_conqueror_treasure
dungeons_arise:chests/mechanical_nest/mechanical_nest_normal
dungeons_arise:chests/mechanical_nest/mechanical_nest_treasure
dungeons_arise:chests/scorched_mines/scorched_mines_treasure
dungeons_arise:chests/shiraz_palace/shiraz_palace_elite
dungeons_arise:chests/shiraz_palace/shiraz_palace_normal",
minecraft:netherite_sword,1,"dungeons_arise:chests/shiraz_palace/shiraz_palace_gardens
dungeons_arise:chests/shiraz_palace/shiraz_palace_supply
dungeons_arise:chests/shiraz_palace/shiraz_palace_treasure",等级附魔
minecraft:oak_leaves,2~4,dungeons_arise:chests/jungle_tree_house/jungle_tree_house_treasure,
minecraft:oak_sapling,"1, 1~2","dungeons_arise:chests/jungle_tree_house/jungle_tree_house_barrels
dungeons_arise:chests/jungle_tree_house/jungle_tree_house_normal
dungeons_arise:chests/jungle_tree_house/jungle_tree_house_treasure",
minecraft:observer,1~2,dungeons_arise:chests/small_blimp/small_blimp_redstone_chamber,
minecraft:obsidian,2~3,dungeons_arise:chests/bathhouse/bathhouse_normal,
minecraft:oxidized_cut_copper,10~20,"dungeons_arise:chests/mechanical_nest/mechanical_nest_equipment
dungeons_arise:chests/mechanical_nest/mechanical_nest_normal",
minecraft:paper,"1, 1~10, 1~2, 1~4, 1~8, 2~3","dungeons_arise:chests/aviary/aviary_barrels
dungeons_arise:chests/heavenly_challenger/heavenly_challenger_supply
dungeons_arise:chests/illager_campsite/illager_campsite_tent
dungeons_arise:chests/keep_kayra/keep_kayra_library_normal
dungeons_arise:chests/keep_kayra/keep_kayra_library_treasure
dungeons_arise:chests/merchant_campsite/merchant_campsite_map
dungeons_arise:chests/monastery/monastery_map
dungeons_arise:chests/undead_pirate_ship/undead_pirate_ship_enchants",
minecraft:peony,1,"dungeons_arise:chests/shiraz_palace/shiraz_palace_gardens
dungeons_arise:chests/shiraz_palace/shiraz_palace_supply",
minecraft:phantom_membrane,"1, 3~4","dungeons_arise:chests/greenwood_pub/greenwood_pub_normal
dungeons_arise:chests/thornborn_towers/thornborn_towers_top_treasure",
minecraft:piston,"1, 1~12","dungeons_arise:chests/plague_asylum/plague_asylum_storage
dungeons_arise:chests/small_blimp/small_blimp_coal_storage
dungeons_arise:chests/small_blimp/small_blimp_redstone_chamber",
minecraft:player_head,1,"dungeons_arise:chests/giant_mushroom/red_giant_mushroom
dungeons_arise:chests/giant_mushroom/twin_giant_mushroom
dungeons_arise:chests/shiraz_palace/shiraz_palace_treasure",自定义NBT
minecraft:poisonous_potato,1~2,dungeons_arise:chests/illager_campsite/illager_campsite_supply,
